# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	tRNA	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	15065	15136	-							BG262_RS00125	72		old_locus_tag=BG262_00125
tRNA		GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	15065	15136	-				tRNA-Glu			BG262_RS00125	72		anticodon=TTC
gene	protein_coding	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	15226	16392	-							BG262_RS00130	1167		old_locus_tag=BG262_00130
CDS	with_protein	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	15226	16392	-	WP_070786863.1	WP_070786863.1		DUF998 domain-containing protein			BG262_RS00130	1167	388	
gene	protein_coding	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	16508	17989	-					guaB		BG262_RS00135	1482		old_locus_tag=BG262_00135
CDS	with_protein	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	16508	17989	-	WP_070786864.1	WP_070786864.1		IMP dehydrogenase	guaB		BG262_RS00135	1482	493	
gene	protein_coding	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	18101	18766	-							BG262_RS00140	666		old_locus_tag=BG262_00140
CDS	with_protein	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	18101	18766	-	WP_070786865.1	WP_070786865.1		YoaK family protein			BG262_RS00140	666	221	
gene	protein_coding	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	18788	19267	-					rlmH		BG262_RS00145	480		old_locus_tag=BG262_00145
CDS	with_protein	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	18788	19267	-	WP_070786866.1	WP_070786866.1		23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmH	rlmH		BG262_RS00145	480	159	
gene	protein_coding	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	19511	20782	+							BG262_RS00150	1272		old_locus_tag=BG262_00150
CDS	with_protein	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	19511	20782	+	WP_070786867.1	WP_070786867.1		trypsin-like peptidase domain-containing protein			BG262_RS00150	1272	423	
gene	protein_coding	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	20891	21688	+							BG262_RS00155	798		old_locus_tag=BG262_00155
CDS	with_protein	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	20891	21688	+	WP_099098709.1	WP_099098709.1		ParB/RepB/Spo0J family partition protein			BG262_RS00155	798	265	
gene	protein_coding	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	22072	23445	+					dnaA		BG262_RS00160	1374		old_locus_tag=BG262_00160
CDS	with_protein	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	22072	23445	+	WP_070786868.1	WP_070786868.1		chromosomal replication initiator protein DnaA	dnaA		BG262_RS00160	1374	457	
gene	protein_coding	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	23611	24753	+					dnaN		BG262_RS00165	1143		old_locus_tag=BG262_00165
CDS	with_protein	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	23611	24753	+	WP_070786869.1	WP_070786869.1		DNA polymerase III subunit beta	dnaN		BG262_RS00165	1143	380	
gene	protein_coding	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	24822	28145	+					rexB		BG262_RS00170	3324		old_locus_tag=BG262_00170
CDS	with_protein	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	24822	28145	+	WP_070786870.1	WP_070786870.1		ATP-dependent nuclease subunit B	rexB		BG262_RS00170	3324	1107	
gene	protein_coding	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	28132	31791	+					addA		BG262_RS00175	3660		old_locus_tag=BG262_00175
CDS	with_protein	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	28132	31791	+	WP_070786871.1	WP_070786871.1		helicase-exonuclease AddAB subunit AddA	addA		BG262_RS00175	3660	1219	
gene	protein_coding	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	31870	32067	+							BG262_RS00180	198		old_locus_tag=BG262_00180
CDS	with_protein	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	31870	32067	+	WP_070786872.1	WP_070786872.1		DUF951 family protein			BG262_RS00180	198	65	
gene	protein_coding	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	32101	33219	+					ychF		BG262_RS00185	1119		old_locus_tag=BG262_00185
CDS	with_protein	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	32101	33219	+	WP_070786873.1	WP_070786873.1		redox-regulated ATPase YchF	ychF		BG262_RS00185	1119	372	
gene	protein_coding	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	33284	33856	+					pth		BG262_RS00190	573		old_locus_tag=BG262_00190
CDS	with_protein	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	33284	33856	+	WP_070786874.1	WP_070786874.1		aminoacyl-tRNA hydrolase	pth		BG262_RS00190	573	190	
gene	protein_coding	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	33858	37415	+					mfd		BG262_RS00195	3558		old_locus_tag=BG262_00195
CDS	with_protein	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	33858	37415	+	WP_070786946.1	WP_070786946.1		transcription-repair coupling factor	mfd		BG262_RS00195	3558	1185	
gene	protein_coding	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	37402	38880	+							BG262_RS00200	1479		old_locus_tag=BG262_00200
CDS	with_protein	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	37402	38880	+	WP_070786875.1	WP_070786875.1		oligosaccharide flippase family protein			BG262_RS00200	1479	492	
gene	protein_coding	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	38908	39438	-							BG262_RS00205	531		old_locus_tag=BG262_00205
CDS	with_protein	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	38908	39438	-	WP_070786876.1	WP_070786876.1		helix-turn-helix transcriptional regulator			BG262_RS00205	531	176	
gene	protein_coding	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	39504	39731	-							BG262_RS10660	228		old_locus_tag=BG262_00210
CDS	with_protein	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	39504	39731	-	WP_070786877.1	WP_070786877.1		hypothetical protein			BG262_RS10660	228	75	
gene	protein_coding	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	39951	42290	-							BG262_RS00215	2340		old_locus_tag=BG262_00215
CDS	with_protein	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	39951	42290	-	WP_070786878.1	WP_070786878.1		5'-nucleotidase C-terminal domain-containing protein			BG262_RS00215	2340	779	
gene	pseudogene	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	42423	43028	+							BG262_RS00220	606		partial;pseudo;old_locus_tag=BG262_00220
CDS	without_protein	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	42423	43028	+				ABC transporter substrate-binding protein			BG262_RS00220	606		partial;pseudo
gene	protein_coding	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	43022	43900	+							BG262_RS00225	879		old_locus_tag=BG262_00225
CDS	with_protein	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	43022	43900	+	WP_070786880.1	WP_070786880.1		ATP-binding cassette domain-containing protein			BG262_RS00225	879	292	
gene	protein_coding	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	43984	44268	+							BG262_RS00230	285		old_locus_tag=BG262_00230
CDS	with_protein	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	43984	44268	+	WP_070786881.1	WP_070786881.1		RNA-binding S4 domain-containing protein			BG262_RS00230	285	94	
gene	protein_coding	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	44243	44638	+							BG262_RS00235	396		old_locus_tag=BG262_00235
CDS	with_protein	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	44243	44638	+	WP_070786882.1	WP_070786882.1		septum formation initiator family protein			BG262_RS00235	396	131	
gene	protein_coding	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	44635	44928	+							BG262_RS00240	294		old_locus_tag=BG262_00240
CDS	with_protein	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	44635	44928	+	WP_070786883.1	WP_070786883.1		S1 RNA-binding domain-containing protein			BG262_RS00240	294	97	
gene	protein_coding	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	45117	46325	+					tilS		BG262_RS00245	1209		old_locus_tag=BG262_00245
CDS	with_protein	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	45117	46325	+	WP_233278804.1	WP_233278804.1		tRNA lysidine(34) synthetase TilS	tilS		BG262_RS00245	1209	402	
gene	protein_coding	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	46330	46869	+					hpt		BG262_RS00250	540		old_locus_tag=BG262_00250
CDS	with_protein	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	46330	46869	+	WP_070786947.1	WP_070786947.1		hypoxanthine phosphoribosyltransferase	hpt		BG262_RS00250	540	179	
gene	protein_coding	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	47029	49056	+					ftsH		BG262_RS00255	2028		old_locus_tag=BG262_00255
CDS	with_protein	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	47029	49056	+	WP_070786885.1	WP_070786885.1		ATP-dependent zinc metalloprotease FtsH	ftsH		BG262_RS00255	2028	675	
gene	protein_coding	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	49224	50606	+							BG262_RS00260	1383		old_locus_tag=BG262_00260
CDS	with_protein	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	49224	50606	+	WP_070786886.1	WP_070786886.1		amino acid permease			BG262_RS00260	1383	460	
gene	protein_coding	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	50706	51596	-							BG262_RS00265	891		old_locus_tag=BG262_00265
CDS	with_protein	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	50706	51596	-	WP_070786887.1	WP_070786887.1		YitT family protein			BG262_RS00265	891	296	
gene	protein_coding	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	51638	52534	-							BG262_RS00270	897		old_locus_tag=BG262_00270
CDS	with_protein	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	51638	52534	-	WP_233278802.1	WP_233278802.1		YitT family protein			BG262_RS00270	897	298	
gene	protein_coding	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	52539	54293	-					aspS		BG262_RS00275	1755		old_locus_tag=BG262_00275
CDS	with_protein	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	52539	54293	-	WP_070786889.1	WP_070786889.1		aspartate--tRNA ligase	aspS		BG262_RS00275	1755	584	
gene	protein_coding	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	54293	55582	-					hisS		BG262_RS00280	1290		old_locus_tag=BG262_00280
CDS	with_protein	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	54293	55582	-	WP_070786890.1	WP_070786890.1		histidine--tRNA ligase	hisS		BG262_RS00280	1290	429	
gene	protein_coding	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	55991	56239	-							BG262_RS10665	249		
CDS	with_protein	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	55991	56239	-	WP_158006624.1	WP_158006624.1		hypothetical protein			BG262_RS10665	249	82	
gene	protein_coding	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	56270	56551	-							BG262_RS00285	282		old_locus_tag=BG262_00285
CDS	with_protein	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	56270	56551	-	WP_070786891.1	WP_070786891.1		TMEM175 family protein			BG262_RS00285	282	93	
gene	protein_coding	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	56716	56886	+					rpmF		BG262_RS00290	171		old_locus_tag=BG262_00290
CDS	with_protein	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	56716	56886	+	WP_070786892.1	WP_070786892.1		50S ribosomal protein L32	rpmF		BG262_RS00290	171	56	
gene	protein_coding	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	56899	57048	+					rpmG		BG262_RS00295	150		old_locus_tag=BG262_00295
CDS	with_protein	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	56899	57048	+	WP_070786893.1	WP_070786893.1		50S ribosomal protein L33	rpmG		BG262_RS00295	150	49	
gene	protein_coding	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	57239	57682	+							BG262_RS00300	444		old_locus_tag=BG262_00300
CDS	with_protein	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	57239	57682	+	WP_070786894.1	WP_070786894.1		DUF3290 family protein			BG262_RS00300	444	147	
gene	protein_coding	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	57679	58404	+							BG262_RS00305	726		old_locus_tag=BG262_00305
CDS	with_protein	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	57679	58404	+	WP_070786895.1	WP_070786895.1		DUF421 domain-containing protein			BG262_RS00305	726	241	
gene	pseudogene	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	58491	59167	-							BG262_RS00310	677		pseudo;old_locus_tag=BG262_00310
CDS	without_protein	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	58491	59167	-				type 1 glutamine amidotransferase domain-containing protein			BG262_RS00310	677		pseudo
gene	protein_coding	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	59164	59499	-							BG262_RS00315	336		old_locus_tag=BG262_00315
CDS	with_protein	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	59164	59499	-	WP_070786896.1	WP_070786896.1		metalloregulator ArsR/SmtB family transcription factor			BG262_RS00315	336	111	
gene	protein_coding	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	59639	60571	+							BG262_RS00320	933		old_locus_tag=BG262_00320
CDS	with_protein	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	59639	60571	+	WP_070786897.1	WP_070786897.1		phosphotransferase			BG262_RS00320	933	310	
gene	protein_coding	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	60572	61453	+							BG262_RS00325	882		old_locus_tag=BG262_00325
CDS	with_protein	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	60572	61453	+	WP_070786898.1	WP_070786898.1		metallophosphoesterase family protein			BG262_RS00325	882	293	
gene	protein_coding	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	61464	62282	+							BG262_RS00330	819		old_locus_tag=BG262_00330
CDS	with_protein	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	61464	62282	+	WP_070786899.1	WP_070786899.1		metallophosphoesterase family protein			BG262_RS00330	819	272	
gene	protein_coding	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	62312	62500	+							BG262_RS00335	189		old_locus_tag=BG262_00335
CDS	with_protein	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	62312	62500	+	WP_070786900.1	WP_070786900.1		hypothetical protein			BG262_RS00335	189	62	
gene	protein_coding	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	62721	64670	+							BG262_RS00340	1950		old_locus_tag=BG262_00340
CDS	with_protein	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	62721	64670	+	WP_070786901.1	WP_070786901.1		hypothetical protein			BG262_RS00340	1950	649	
gene	protein_coding	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	64722	65777	+							BG262_RS00345	1056		old_locus_tag=BG262_00345
CDS	with_protein	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	64722	65777	+	WP_070786902.1	WP_070786902.1		PhnD/SsuA/transferrin family substrate-binding protein			BG262_RS00345	1056	351	
gene	protein_coding	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	65850	66611	+					phnC		BG262_RS00350	762		old_locus_tag=BG262_00350
CDS	with_protein	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	65850	66611	+	WP_070786903.1	WP_070786903.1		phosphonate ABC transporter ATP-binding protein	phnC		BG262_RS00350	762	253	
gene	protein_coding	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	66598	67419	+					phnE		BG262_RS00355	822		old_locus_tag=BG262_00355
CDS	with_protein	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	66598	67419	+	WP_070786904.1	WP_070786904.1		phosphonate ABC transporter, permease protein PhnE	phnE		BG262_RS00355	822	273	
gene	protein_coding	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	67474	68265	+					phnE		BG262_RS00360	792		old_locus_tag=BG262_00360
CDS	with_protein	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	67474	68265	+	WP_070786948.1	WP_070786948.1		phosphonate ABC transporter, permease protein PhnE	phnE		BG262_RS00360	792	263	
