# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	11616	12158	+	WP_000892185.1	WP_000892185.1		hypoxanthine phosphoribosyltransferase	hpt		LXA46_RS00060	543	180	
gene	protein_coding	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	12174	14132	+					ftsH		LXA46_RS00065	1959		old_locus_tag=LXA46_00060
CDS	with_protein	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	12174	14132	+	WP_000744538.1	WP_000744538.1		ATP-dependent zinc metalloprotease FtsH	ftsH		LXA46_RS00065	1959	652	
gene	protein_coding	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	14254	14733	+							LXA46_RS00070	480		old_locus_tag=LXA46_00065
CDS	with_protein	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	14254	14733	+	WP_000588925.1	WP_000588925.1		sigma-70 family RNA polymerase sigma factor			LXA46_RS00070	480	159	
gene	tRNA	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	14827	14898	+							LXA46_RS00075	72		old_locus_tag=LXA46_00070
tRNA		GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	14827	14898	+				tRNA-Glu			LXA46_RS00075	72		anticodon=TTC
gene	rRNA	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	15152	16697	+							LXA46_RS00080	1546		old_locus_tag=LXA46_00075
rRNA		GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	15152	16697	+				16S ribosomal RNA			LXA46_RS00080	1546		
gene	tRNA	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	16749	16821	+							LXA46_RS00085	73		old_locus_tag=LXA46_00080
tRNA		GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	16749	16821	+				tRNA-Ala			LXA46_RS00085	73		anticodon=TGC
gene	rRNA	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	16946	19847	+							LXA46_RS00090	2902		old_locus_tag=LXA46_00085
rRNA		GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	16946	19847	+				23S ribosomal RNA			LXA46_RS00090	2902		
gene	rRNA	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	19924	20039	+					rrf		LXA46_RS00095	116		old_locus_tag=LXA46_00090
rRNA		GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	19924	20039	+				5S ribosomal RNA	rrf		LXA46_RS00095	116		
gene	tRNA	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	20045	20118	+							LXA46_RS00100	74		old_locus_tag=LXA46_00095
tRNA		GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	20045	20118	+				tRNA-Asn			LXA46_RS00100	74		anticodon=GTT
gene	pseudogene	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	20226	21071	+							LXA46_RS00105	846		pseudo;old_locus_tag=LXA46_00100
CDS	without_protein	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	20226	21071	+				IS630-like element IS630-Spn1 family transposase			LXA46_RS00105	846		pseudo
gene	pseudogene	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	21106	21903	-							LXA46_RS00110	798		partial;pseudo;old_locus_tag=LXA46_00105
CDS	without_protein	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	21106	21903	-				transposase			LXA46_RS00110	798		partial;pseudo
gene	protein_coding	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	22169	22405	+					comW		LXA46_RS00115	237		old_locus_tag=LXA46_00110
CDS	with_protein	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	22169	22405	+	WP_000939545.1	WP_000939545.1		sigma(X)-activator ComW	comW		LXA46_RS00115	237	78	
gene	protein_coding	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	22636	23922	+							LXA46_RS00120	1287		old_locus_tag=LXA46_00115
CDS	with_protein	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	22636	23922	+	WP_000205044.1	WP_000205044.1		adenylosuccinate synthase			LXA46_RS00120	1287	428	
gene	protein_coding	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	24123	24590	+					tadA		LXA46_RS00125	468		old_locus_tag=LXA46_00120
CDS	with_protein	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	24123	24590	+	WP_000291875.1	WP_000291875.1		tRNA adenosine(34) deaminase TadA	tadA		LXA46_RS00125	468	155	
gene	SRP_RNA	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	24623	24720	+					ffs		LXA46_RS00130	98		old_locus_tag=LXA46_00125
ncRNA	SRP_RNA	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	24623	24720	+				signal recognition particle sRNA small type	ffs		LXA46_RS00130	98		
gene	protein_coding	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	24777	25220	+							LXA46_RS00135	444		old_locus_tag=LXA46_00130
CDS	with_protein	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	24777	25220	+	WP_000701992.1	WP_000701992.1		dUTP diphosphatase			LXA46_RS00135	444	147	
gene	protein_coding	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	25222	25737	+							LXA46_RS00140	516		old_locus_tag=LXA46_00135
CDS	with_protein	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	25222	25737	+	WP_000691236.1	WP_000691236.1		histidine phosphatase family protein			LXA46_RS00140	516	171	
gene	protein_coding	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	25751	27112	+					radA		LXA46_RS00145	1362		old_locus_tag=LXA46_00140
CDS	with_protein	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	25751	27112	+	WP_074017595.1	WP_074017595.1		DNA repair protein RadA	radA		LXA46_RS00145	1362	453	
gene	protein_coding	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	27185	27682	+							LXA46_RS00150	498		old_locus_tag=LXA46_00145
CDS	with_protein	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	27185	27682	+	WP_001809263.1	WP_001809263.1		carbonic anhydrase			LXA46_RS00150	498	165	
gene	pseudogene	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	27707	28521	+							LXA46_RS00155	815		pseudo;old_locus_tag=LXA46_00150
CDS	without_protein	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	27707	28521	+				PrsW family intramembrane metalloprotease			LXA46_RS00155	815		pseudo
gene	protein_coding	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	28666	29634	+							LXA46_RS00160	969		old_locus_tag=LXA46_00155
CDS	with_protein	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	28666	29634	+	WP_000010163.1	WP_000010163.1		ribose-phosphate diphosphokinase			LXA46_RS00160	969	322	
gene	pseudogene	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	29768	30049	-							LXA46_RS00165	282		partial;pseudo;old_locus_tag=LXA46_00160
CDS	without_protein	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	29768	30049	-				transposase family protein			LXA46_RS00165	282		partial;pseudo
gene	pseudogene	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	30176	31083	-							LXA46_RS00170	908		pseudo;old_locus_tag=LXA46_00165
CDS	without_protein	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	30176	31083	-				Rpn family recombination-promoting nuclease/putative transposase			LXA46_RS00170	908		pseudo
gene	protein_coding	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	31339	33972	+					polA		LXA46_RS00175	2634		old_locus_tag=LXA46_00170
CDS	with_protein	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	31339	33972	+	WP_001808750.1	WP_001808750.1		DNA polymerase I	polA		LXA46_RS00175	2634	877	
gene	protein_coding	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	34057	34494	+							LXA46_RS00180	438		old_locus_tag=LXA46_00175
CDS	with_protein	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	34057	34494	+	WP_000076479.1	WP_000076479.1		CoA-binding protein			LXA46_RS00180	438	145	
gene	protein_coding	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	34535	34816	+							LXA46_RS00185	282		old_locus_tag=LXA46_00180
CDS	with_protein	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	34535	34816	+	WP_001827121.1	WP_001827121.1		hypothetical protein			LXA46_RS00185	282	93	
gene	protein_coding	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	34813	35823	-							LXA46_RS00190	1011		old_locus_tag=LXA46_00185
CDS	with_protein	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	34813	35823	-	WP_000009144.1	WP_000009144.1		YeiH family protein			LXA46_RS00190	1011	336	
gene	protein_coding	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	35972	37141	+							LXA46_RS00195	1170		old_locus_tag=LXA46_00190
CDS	with_protein	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	35972	37141	+	WP_000366370.1	WP_000366370.1		pyridoxal phosphate-dependent aminotransferase			LXA46_RS00195	1170	389	
gene	protein_coding	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	37138	37908	+					recO		LXA46_RS00200	771		old_locus_tag=LXA46_00195
CDS	with_protein	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	37138	37908	+	WP_000616164.1	WP_000616164.1		DNA repair protein RecO	recO		LXA46_RS00200	771	256	
gene	protein_coding	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	37905	38897	+					plsX		LXA46_RS00205	993		old_locus_tag=LXA46_00200
CDS	with_protein	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	37905	38897	+	WP_000717458.1	WP_000717458.1		phosphate acyltransferase PlsX	plsX		LXA46_RS00205	993	330	
gene	protein_coding	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	38903	39136	+							LXA46_RS00210	234		old_locus_tag=LXA46_00205
CDS	with_protein	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	38903	39136	+	WP_000136447.1	WP_000136447.1		acyl carrier protein			LXA46_RS00210	234	77	
gene	pseudogene	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	39182	39472	+							LXA46_RS00215	291		partial;pseudo;old_locus_tag=LXA46_00210
CDS	without_protein	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	39182	39472	+				transposase family protein			LXA46_RS00215	291		partial;pseudo
gene	protein_coding	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	39675	39905	+					blpU		LXA46_RS00220	231		old_locus_tag=LXA46_00215
CDS	with_protein	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	39675	39905	+	WP_001093487.1	WP_001093487.1		bacteriocin-like peptide BlpU	blpU		LXA46_RS00220	231	76	
gene	protein_coding	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	39908	40033	+							LXA46_RS10865	126		
CDS	with_protein	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	39908	40033	+	WP_000346297.1	WP_000346297.1		hypothetical protein			LXA46_RS10865	126	41	
gene	protein_coding	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	40620	42773	+					comA		LXA46_RS00225	2154		old_locus_tag=LXA46_00220
CDS	with_protein	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	40620	42773	+	WP_000668284.1	WP_000668284.1		peptide cleavage/export ABC transporter ComA	comA		LXA46_RS00225	2154	717	
gene	protein_coding	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	42786	44135	+					comB		LXA46_RS00230	1350		old_locus_tag=LXA46_00225
CDS	with_protein	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	42786	44135	+	WP_000801611.1	WP_000801611.1		competence pheromone export protein ComB	comB		LXA46_RS00230	1350	449	
gene	protein_coding	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	44305	45012	+							LXA46_RS00235	708		old_locus_tag=LXA46_00230
CDS	with_protein	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	44305	45012	+	WP_000043309.1	WP_000043309.1		phosphoribosylaminoimidazolesuccinocarboxamide synthase			LXA46_RS00235	708	235	
gene	protein_coding	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	45214	48939	+							LXA46_RS00240	3726		old_locus_tag=LXA46_00235
CDS	with_protein	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	45214	48939	+	WP_000361188.1	WP_000361188.1		phosphoribosylformylglycinamidine synthase			LXA46_RS00240	3726	1241	
gene	protein_coding	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	49032	50474	+					purF		LXA46_RS00245	1443		old_locus_tag=LXA46_00240
CDS	with_protein	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	49032	50474	+	WP_000220637.1	WP_000220637.1		amidophosphoribosyltransferase	purF		LXA46_RS00245	1443	480	
gene	protein_coding	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	50693	51715	+					purM		LXA46_RS00250	1023		old_locus_tag=LXA46_00245
CDS	with_protein	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	50693	51715	+	WP_001284589.1	WP_001284589.1		phosphoribosylformylglycinamidine cyclo-ligase	purM		LXA46_RS00250	1023	340	
gene	protein_coding	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	51712	52257	+					purN		LXA46_RS00255	546		old_locus_tag=LXA46_00250
CDS	with_protein	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	51712	52257	+	WP_000717501.1	WP_000717501.1		phosphoribosylglycinamide formyltransferase	purN		LXA46_RS00255	546	181	
gene	protein_coding	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	52341	52850	+							LXA46_RS00260	510		old_locus_tag=LXA46_00255
CDS	with_protein	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	52341	52850	+	WP_000894006.1	WP_000894006.1		VanZ family protein			LXA46_RS00260	510	169	
gene	protein_coding	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	52875	54422	+					purH		LXA46_RS00265	1548		old_locus_tag=LXA46_00260
CDS	with_protein	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	52875	54422	+	WP_000167081.1	WP_000167081.1		bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase	purH		LXA46_RS00265	1548	515	
gene	protein_coding	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	54544	55806	+					purD		LXA46_RS00270	1263		old_locus_tag=LXA46_00265
CDS	with_protein	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	54544	55806	+	WP_000772229.1	WP_000772229.1		phosphoribosylamine--glycine ligase	purD		LXA46_RS00270	1263	420	
gene	protein_coding	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	56063	56179	+							LXA46_RS00275	117		old_locus_tag=LXA46_00270
CDS	with_protein	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	56063	56179	+	WP_001809271.1	WP_001809271.1		hypothetical protein			LXA46_RS00275	117	38	
gene	protein_coding	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	56209	56697	+					purE		LXA46_RS00280	489		old_locus_tag=LXA46_00275
CDS	with_protein	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	56209	56697	+	WP_000805601.1	WP_000805601.1		5-(carboxyamino)imidazole ribonucleotide mutase	purE		LXA46_RS00280	489	162	
gene	protein_coding	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	56684	57775	+					purK		LXA46_RS00285	1092		old_locus_tag=LXA46_00280
CDS	with_protein	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	56684	57775	+	WP_000099054.1	WP_000099054.1		5-(carboxyamino)imidazole ribonucleotide synthase	purK		LXA46_RS00285	1092	363	
gene	protein_coding	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	57785	58012	+							LXA46_RS00290	228		old_locus_tag=LXA46_00285
CDS	with_protein	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	57785	58012	+	WP_000614706.1	WP_000614706.1		hypothetical protein			LXA46_RS00290	228	75	
gene	protein_coding	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	58075	59373	+					purB		LXA46_RS00295	1299		old_locus_tag=LXA46_00290
CDS	with_protein	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	58075	59373	+	WP_000610745.1	WP_000610745.1		adenylosuccinate lyase	purB		LXA46_RS00295	1299	432	
gene	protein_coding	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	59428	63366	-					strH		LXA46_RS00300	3939		old_locus_tag=LXA46_00295
CDS	with_protein	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	59428	63366	-	WP_000679952.1	WP_000679952.1		LPXTG-anchored beta-N-acetylhexosaminidase StrH	strH		LXA46_RS00300	3939	1312	
gene	protein_coding	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	63694	64410	-							LXA46_RS00305	717		old_locus_tag=LXA46_00300
CDS	with_protein	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	63694	64410	-	WP_001007202.1	WP_001007202.1		GntR family transcriptional regulator			LXA46_RS00305	717	238	
gene	protein_coding	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	64759	66546	+							LXA46_RS00310	1788		old_locus_tag=LXA46_00305
CDS	with_protein	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	64759	66546	+	WP_000196556.1	WP_000196556.1		beta-galactosidase			LXA46_RS00310	1788	595	
gene	protein_coding	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	66543	67019	+							LXA46_RS00315	477		old_locus_tag=LXA46_00310
CDS	with_protein	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	66543	67019	+	WP_000156969.1	WP_000156969.1		PTS system mannose/fructose/N-acetylgalactosamine-transporter subunit IIB			LXA46_RS00315	477	158	
gene	protein_coding	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	67047	67952	+							LXA46_RS00320	906		old_locus_tag=LXA46_00315
CDS	with_protein	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	67047	67952	+	WP_000616999.1	WP_000616999.1		PTS mannose/fructose/sorbose/N-acetylgalactosamine transporter subunit IIC			LXA46_RS00320	906	301	
gene	protein_coding	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	67939	68754	+							LXA46_RS00325	816		old_locus_tag=LXA46_00320
CDS	with_protein	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	67939	68754	+	WP_000185298.1	WP_000185298.1		PTS system mannose/fructose/sorbose family transporter subunit IID			LXA46_RS00325	816	271	
gene	protein_coding	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	68761	69165	+							LXA46_RS00330	405		old_locus_tag=LXA46_00325
CDS	with_protein	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	68761	69165	+	WP_000167454.1	WP_000167454.1		PTS sugar transporter subunit IIA			LXA46_RS00330	405	134	
gene	protein_coding	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	69464	70630	+							LXA46_RS00335	1167		old_locus_tag=LXA46_00330
CDS	with_protein	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	69464	70630	+	WP_000903552.1	WP_000903552.1		SIS domain-containing protein			LXA46_RS00335	1167	388	
gene	protein_coding	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	70746	71783	+							LXA46_RS00340	1038		old_locus_tag=LXA46_00335
CDS	with_protein	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	70746	71783	+	WP_000649425.1	WP_000649425.1		aldose epimerase family protein			LXA46_RS00340	1038	345	
gene	pseudogene	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	71900	73113	+							LXA46_RS00345	1214		pseudo;old_locus_tag=LXA46_00340
CDS	without_protein	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	71900	73113	+				CAP domain-containing protein			LXA46_RS00345	1214		pseudo
gene	protein_coding	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	73565	79135	+					zmpC		LXA46_RS00350	5571		old_locus_tag=LXA46_00345
CDS	with_protein	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	73565	79135	+	WP_000088129.1	WP_000088129.1		zinc metalloprotease ZmpC	zmpC		LXA46_RS00350	5571	1856	
gene	protein_coding	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	79491	80345	+							LXA46_RS00355	855		old_locus_tag=LXA46_00350
CDS	with_protein	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	79491	80345	+	WP_000220734.1	WP_000220734.1		VOC family protein			LXA46_RS00355	855	284	
gene	protein_coding	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	80451	81008	+							LXA46_RS00360	558		old_locus_tag=LXA46_00355
CDS	with_protein	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	80451	81008	+	WP_000200247.1	WP_000200247.1		sugar O-acetyltransferase			LXA46_RS00360	558	185	
gene	protein_coding	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	81225	81989	+							LXA46_RS00365	765		old_locus_tag=LXA46_00360
CDS	with_protein	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	81225	81989	+	WP_000615010.1	WP_000615010.1		nucleoside phosphorylase			LXA46_RS00365	765	254	
gene	protein_coding	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	82602	83981	+							LXA46_RS00370	1380		old_locus_tag=LXA46_00365
CDS	with_protein	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	82602	83981	+	WP_000897727.1	WP_000897727.1		TrkH family potassium uptake protein			LXA46_RS00370	1380	459	
gene	protein_coding	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	83995	84660	+							LXA46_RS00375	666		old_locus_tag=LXA46_00370
CDS	with_protein	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	83995	84660	+	WP_001283896.1	WP_001283896.1		TrkA family potassium uptake protein			LXA46_RS00375	666	221	
gene	protein_coding	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	84970	85509	+							LXA46_RS00380	540		old_locus_tag=LXA46_00375
CDS	with_protein	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	84970	85509	+	WP_000771899.1	WP_000771899.1		glycosyltransferase family A protein			LXA46_RS00380	540	179	
